,0
1100,Darla Mercado
1101,Jeff Currie
1102,Gary Guthart
1103,Barry Silbert
1104,Eric Shimp
1105,John Roque
1106,Dick Fuld
1107,Igor Yegorov
1108,Michael Heyward
1109,David Kroin
1110,Peter Drucker
1111,Mark Zuckerberg
1112,Michael Salm
1113,Stryker
1114,James Dimon
1115,James Rothenberg
1116,Travis Kalanick Whether
1117,Eric Falkenstein
1118,Simon
1119,Hammergren
1120,Greg Brown
1121,Joerg Kraemer
1122,Louis D'Ambrosio
1123,Marc Benioff
1124,Mohamed El Harari
1125,Ensign Gross
1126,Jeremy Levin
1127,Ken Block
1128,Doug McMillon
1129,Birnbrey
1130,Soraya Heydari
1131,Matt Kibbe
1132,William Schneider
1133,Evan Smith
1134,Jeffrey Shinder
1135,Ronald Williams
1136,Jim Cowles
1137,Steve Sanghi
1138,Mikhail Khodorkovsky
1139,George Faison
1140,Jane Mendillo
1141,Harold Brown
1142,Barry Petchesky
1143,George Miller
1144,Scott Ferguson
1145,Democrat Sherrod Brown
1146,Johannes Hellstrom
1147,Lance Armstrong
1148,Northern Cyprus
1149,Jeanne Branthover
1150,Fanny Bobbins
1151,John Chiang
1152,Vic Neufeld
1153,Peter Schiff
1154,David Gyngell
1155,Howard Archer
1156,Alan Lavine
1157,Greg Harmon
1158,Bill Allen
1159,Paul Singer
1160,Bernard Lesterlin
1161,Tim Mrock
1162,Eric Feferberg
1163,Lei Jun
1164,Jerry Brown
1165,Tennis Channel
1166,David Salama
1167,Robin Hayes
1168,Stephen Moore
1169,Nick Leeson
1170,Dave Weigel
1171,Gerard Wynn
1172,Laurent Potdevin
1173,Chuck Princes
1174,Jigar Shah
1175,David Blaylock
1176,Marianne Vos
1177,Rusney Castillo
1178,Mori
1179,Mike Tholen
1180,Lisa Ferguson
1181,David Berney
1182,Autumn Radtke
1183,Steve Brown
1184,David Gurle
1185,Richard Abramson
1186,Jeff Brown
1187,Michael French
1188,Bachman
1189,Kazuo Hirai
1190,Wasserman
1191,Bill Nygren
1192,Milos Forman
1193,Shehzad Haider
1194,Kevin Brown
1195,Ron Surz
1196,Zacman
1197,Sam Laidlaw
1198,George Papandreou
1199,Mike Rothenberg
1200,Josh N.
1201,Triple Elvis
1202,Jason GoldbergFab.com
1203,Jonathan Wright
1204,William Ruprecht
1205,Shroder
1206,Justin Bergman
1207,Wynn
1208,Tom Ernst
1209,Jerry Chen
1210,Daniel Birnbaum
1211,Jim Paulsen
1212,Neil Austrian
1213,James Ferguson
1214,Paul Ross
1215,Peter Graff
1216,Greg Gopman
1217,John Donahoe
1218,Mike Smith
1219,Richard Ketchum
1220,Dushan Zaric
1221,Dan Mathisson
1222,Ken Johnson
1223,Jamie Sokalsky
1224,David Benioff
1225,Andy Russell
1226,David Heiman
1227,Meredith Whitney Advisory Group
1228,Jon Corzine
1229,Miklos
1230,Jonathan van Smit
1231,Bill Ruprecht
1232,Todd Pedersen
1233,Daniel Marcus
1234,Ferrero prefers&nbsp;to
1235,Prescott Bush
1236,Gvid Gyngell
1237,Côte
1238,Jerry Brito
1239,Tad Smith
1240,John Walsh
1241,Marissa Mayer
1242,Matt Hornbuckle
1243,Richard Meier
1244,Michael Ebert
1245,Josh Hix
1246,Marc Beer
1247,Judge Ramos
1248,Richard Bresson
1249,Sascha Lewis
1250,Alan Mulally
1251,Michael Jenkins
1252,Jesse Singer
1253,Avi Reichental
1254,Paul Goodson
1255,Anne Moore
1256,Ray Benton
1257,Hastings
1258,Jeff Varisco
1259,Brad Katusyama
1260,Philippe Chevalier
1261,James Chanos
1262,Dustin Mulvaney
1263,Charles Xue
1264,Miriam Adelson
1265,David McCandless
1266,Douglas Yearley
1267,Sam Waterson
1268,David Ellison
1269,Howard Gross
1270,Daniel Ceballo
1271,Broughton
1272,Andrew Walsh
1273,Andrew Batson
1274,Sam Hananel
1275,Alan Johnson
1276,Leigh Wynn
1277,Dan Poll
1278,Karsten Nohl
1279,Bob Dieli
1280,Randall Bartlett
1281,Chaly Mah
1282,Scrypt
1283,New Approach
