,0
1149,7.5%
1150,1%
1151,5.5%
1152,29%
1153,63%
1154,30%
1155,50%
1156,75%
1157,80%
1158,9%
1159,14%
1160,1.3%
1161,24%
1162,20%
1163,1%
1164,5.5%
1165,7.5%
1166,30%
1167,-75%
1168,1%
1169,2.5%
1170,3%
1171,2%
1172,1%
1173,1.33%
1174,80%
1175,3%
1176,1%
1177,12%
1178,.05%
1179,0.95%
1180,11.4%
1181,12.1%
1182,2.5%
1183,25%
1184,90%
1185,2.2%
1186,2.5%
1187,6.7%
1188,6.8%
1189,80.7%
1190,85.8%
1191,102.7%
1192,2.2%
1193,2.5%
1194,6.7%
1195,6.8%
1196,39%
1197,38%
1198,22%
1199,18%
1200,2.8%
1201,30%
1202,50%
1203,5%
1204,165.4%
1205,80.7%
1206,85.8%
1207,102.7%
1208,15%
1209,25%
1210,17%
1211,3%
1212,18%
1213,13%
1214,35%
1215,47%
1216,35%
1217,57%
1218,51%
1219,48%
1220,50%
1221,63%
1222,48%
1223,44%
1224,31%
1225,81%
1226,74%
1227,33%
1228,31%
1229,16%
1230,27%
1231,23%
1232,50%
1233,46%
1234,40%
1235,37%
1236,77%
1237,50%
1238,47%
1239,45%
1240,22%
1241,19%
1242,11%
1243,47%
1244,45%
1245,35%
1246,76%
1247,53%
1248,79%
1249,70%
1250,40%
1251,3.76%
1252,9.06%
1253,75%
1254,40%
1255,1%
1256,10%
1257,4%
1258,5%
1259,8.0%
1260,9.3%
1261,1.3%
1262,6.8%
1263,8.9%
1264,11.2%
1265,2.3%
1266,5.6%
1267,3.4%
1268,6.1%
1269,2.7%
1270,3.2%
1271,3.5%
1272,8.4%
1273,4.9%
1274,3.1%
1275,7.9%
1276,5.3%
1277,3.4%
1278,2.0%
1279,2.9%
1280,0.5%
1281,3.4%
1282,2.0%
1283,3.4%
1284,1.9%
1285,5.3%
1286,4.0%
1287,6.8%
1288,2.8%
1289,0.3%
1290,7.9%
1291,13.6%
1292,5.7%
1293,6.4%
1294,8.7%
1295,2.3%
1296,8.7%
1297,4.5%
1298,8.6%
1299,4.1%
1300,7.9%
1301,2%
1302,79%
1303,82%
1304,75%
1305,5.38%
1306,1.5%
1307,2.03%
1308,0.23%
1309,60%
1310,2%
1311,2%
1312,1%
1313,2%
1314,2%
1315,1.3%
1316,2%
1317,1%
1318,95%
1319,4%
1320,4%
1321,9%
1322,4%
1323,25%
1324,73%
1325,5%
1326,10%
1327,6%
1328,10%
1329,78%
1330,7%
1331,35%
1332,-6%
1333,5%
1334,54%
1335,...65%
1336,4%
1337,33%
1338,20%
1339,11.3%
1340,11.8%
1341,6.6%
1342,35.9%
1343,27%
1344,37%
1345,36%
1346,13.6%
1347,17.3%
1348,9.1%
1349,10.9%
1350,17.3%
1351,23.1%
1352,10%
1353,10%
1354,10%
1355,10.7%
1356,11.1%
1357,14.7%
1358,16.3%
1359,26.2%
1360,2%
1361,16%
1362,6%
1363,7.5%
1364,5%
1365,1.5%
1366,-8.2%
1367,44.4%
1368,3-5%
1369,100%
1370,4.9%
1371,7.9%
1372,4.9%
1373,7.9%
1374,2%
1375,9.3%
1376,3.3%
1377,7.1%
1378,78%
1379,37%
1380,35%
1381,36%
1382,3.6%
1383,4.3%
1384,7%
1385,20%
1386,9.3%
1387,5.5%
1388,50%
1389,35%
1390,20%
1391,26.6%
1392,10.5%
1393,2.7%
